City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ancud,-41.8697,-73.8203,6.77,72,98,2.71,CL,1693776460
84,kisangani,0.5167,25.2,25.34,77,86,0.94,CD,1693776460
85,camacupa,-12.0167,17.4833,20.77,14,98,1.6,AO,1693776461
86,ketchikan,55.3422,-131.6461,17.26,59,75,4.63,US,1693776461
87,rongelap,11.1635,166.8941,28.27,74,85,2.49,MH,1693776461
88,edinburgh of the seven seas,-37.0676,-12.3116,12.22,74,89,6.44,SH,1693776461
89,nadi,-17.8,177.4167,27.0,74,20,2.06,FJ,1693776461
90,chui,-33.6971,-53.4616,14.33,99,100,2.37,UY,1693776462
91,nhamunda,-2.1861,-56.7131,36.58,19,17,3.07,BR,1693776462
92,jutai,-5.1833,-68.9,29.37,63,100,1.29,BR,1693776462
93,bairnsdale,-37.8333,147.6167,6.14,85,0,2.41,AU,1693776462
94,kodiak,57.79,-152.4072,13.73,72,100,2.57,US,1693776462
95,longyearbyen,78.2186,15.6401,4.91,87,75,2.57,SJ,1693776251
96,lebu,-37.6167,-73.65,9.17,66,100,5.43,CL,1693776462
97,uturoa,-16.7333,-151.4333,24.87,83,97,7.72,PF,1693776463
98,cadale,2.7603,46.3222,25.14,84,1,9.4,SO,1693776463
99,aasiaat,68.7098,-52.8699,1.79,75,29,1.32,GL,1693776463
100,vadso,70.0744,29.7487,15.49,87,75,2.06,NO,1693776463
101,ji'an,27.1172,114.9793,23.31,76,100,2.4,CN,1693776463
102,afaahiti,-17.75,-149.2833,25.93,92,100,8.63,PF,1693776464
103,margaret river,-33.95,115.0667,13.5,76,87,8.68,AU,1693776464
104,fuling,29.7022,107.3919,23.09,83,0,1.19,CN,1693776464
105,qaqortoq,60.7167,-46.0333,6.36,58,46,3.59,GL,1693776464
106,rosarito,32.3333,-117.0333,28.29,74,62,5.65,MX,1693776464
107,college,64.8569,-147.8028,13.45,66,75,4.12,US,1693776464
108,chinde,26.8418,88.0763,19.31,82,84,2.48,NP,1693776465
109,ta`u,-14.2336,-169.5144,26.88,75,75,8.31,AS,1693776465
110,mala,-12.6581,-76.6308,20.81,74,9,4.19,PE,1693776465
111,yatou,37.15,122.3833,20.23,88,82,1.53,CN,1693776465
112,isafjordur,66.0755,-23.124,7.38,72,14,4.86,IS,1693776465
113,guarapari,-20.6667,-40.4975,23.27,83,91,8.05,BR,1693776465
114,saipan,15.1355,145.701,27.39,94,20,0.0,MP,1693776466
115,meulaboh,4.1363,96.1285,23.82,92,100,1.42,ID,1693776466
116,vera,-29.4593,-60.2126,13.21,91,100,5.45,AR,1693776466
117,howrah,22.5892,88.3103,28.0,94,75,1.54,IN,1693776466
118,igra,57.5558,53.0547,11.53,88,8,0.51,RU,1693776466
119,haiku-pauwela,20.9219,-156.3051,29.01,58,20,11.32,US,1693776466
120,fisterra,42.9049,-9.2629,20.97,78,100,7.09,ES,1693776467
121,livingston,55.9029,-3.5226,15.71,83,0,3.6,GB,1693776236
122,hamilton,39.1834,-84.5333,34.58,48,75,4.12,US,1693776208
123,novo cruzeiro,-17.4681,-41.8753,20.5,75,53,1.77,BR,1693776467
124,hermanus,-34.4187,19.2345,11.56,81,33,3.51,ZA,1693776467
125,bechar,31.6167,-2.2167,29.18,11,0,2.57,DZ,1693776467
126,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,77,75,3.0,RU,1693776467
127,camajuani,22.4833,-79.75,31.08,58,40,5.14,CU,1693776468
128,pierre,44.3683,-100.351,39.51,24,0,5.14,US,1693776468
129,coquimbo,-29.9533,-71.3436,17.85,51,20,4.63,CL,1693776380
130,pohang,36.0322,129.365,23.24,95,50,2.25,KR,1693776468
131,happy valley-goose bay,53.3168,-60.3315,23.17,56,40,8.23,CA,1693776468
132,carnarvon,-24.8667,113.6333,17.78,59,100,7.08,AU,1693776468
133,tanjung pandan,-2.75,107.65,22.85,79,4,3.64,ID,1693776469
134,prince george,53.9166,-122.753,20.69,27,0,6.17,CA,1693776179
135,komatipoort,-25.4332,31.9548,18.36,69,27,0.81,ZA,1693776469
136,ratnagiri,16.9833,73.3,26.39,85,100,4.62,IN,1693776469
137,griffith,41.5284,-87.4237,34.52,35,0,7.72,US,1693776174
138,avarua,-21.2078,-159.775,24.03,57,76,2.57,CK,1693776470
139,dombarovskiy,50.7587,59.5386,12.73,81,31,3.61,RU,1693776471
140,calingasta,-31.3308,-69.4078,17.88,11,0,4.23,AR,1693776471
141,karratha,-20.7377,116.8463,18.87,53,90,3.84,AU,1693776282
142,eyl,7.9803,49.8164,24.96,79,7,11.36,SO,1693776412
143,labytnangi,66.6572,66.4183,6.91,84,3,2.02,RU,1693776472
144,olinda,-8.0089,-34.8553,25.85,78,75,7.2,BR,1693776472
145,ushuaia,-54.8,-68.3,1.81,64,75,9.77,AR,1693776242
146,mawu,29.5923,107.3139,20.97,87,0,1.38,CN,1693776473
147,kotel'nikovo,47.6317,43.1461,24.8,29,100,8.43,RU,1693776473
148,tamanrasset,22.785,5.5228,28.95,24,40,1.03,DZ,1693776473
149,kaduy,59.2,37.15,14.54,91,100,0.61,RU,1693776473
150,brookings,44.3114,-96.7984,36.0,32,0,3.6,US,1693776416
151,boda,4.3189,17.4695,21.18,97,100,1.99,CF,1693776473
152,ilulissat,69.2167,-51.1,4.01,75,75,3.6,GL,1693776474
153,sisimiut,66.9395,-53.6735,4.21,64,97,2.1,GL,1693776474
154,hithadhoo,-0.6,73.0833,27.7,70,100,2.19,MV,1693776474
155,mount isa,-20.7333,139.5,9.87,81,2,1.54,AU,1693776474
156,sao joao da barra,-21.6403,-41.0511,24.05,82,36,8.89,BR,1693776474
157,turpan,42.9333,89.1667,31.55,21,88,0.83,CN,1693776474
158,al bawiti,28.3492,28.8659,27.17,33,0,3.18,EG,1693776475
159,antonio enes,-16.2325,39.9086,23.11,83,2,2.34,MZ,1693776475
160,nuestra senora del rosario de caa cati,-27.7507,-57.6207,26.0,82,100,2.76,AR,1693776475
161,goure,13.9835,10.2704,32.95,37,58,1.94,NE,1693776475
162,wailua homesteads,22.0669,-159.378,28.44,74,20,7.72,US,1693776475
163,saint john,45.2727,-66.0677,17.57,94,75,3.09,CA,1693776415
164,hasaki,35.7333,140.8333,26.28,92,100,3.65,JP,1693776475
165,batticaloa,7.7102,81.6924,25.33,82,100,2.12,LK,1693776476
166,bredasdorp,-34.5322,20.0403,8.18,90,2,2.28,ZA,1693776476
167,broome,42.2506,-75.833,31.68,68,0,2.57,US,1693776476
168,lompoc,34.6391,-120.4579,26.12,73,100,4.92,US,1693776476
169,tabuk,17.4189,121.4443,24.42,90,100,1.31,PH,1693776477
170,iskateley,67.6803,53.1512,14.89,91,100,3.47,RU,1693776477
171,talnakh,69.4865,88.3972,3.45,85,100,4.77,RU,1693776477
172,fuerte olimpo,-21.0415,-57.8738,38.38,25,96,5.55,PY,1693776477
173,thompson,55.7435,-97.8558,21.09,43,75,7.2,CA,1693776477
174,naze,28.3667,129.4833,24.51,83,19,2.26,JP,1693776477
175,warmbad,-28.45,18.7333,11.28,50,0,4.01,NA,1693776478
176,acapulco de juarez,16.8634,-99.8901,31.9,62,75,3.09,MX,1693776339
177,porto novo,6.4965,2.6036,24.9,89,89,2.19,BJ,1693776392
178,kavaratti,10.5669,72.642,27.11,80,100,9.24,IN,1693776478
179,touros,-5.1989,-35.4608,25.34,82,0,6.98,BR,1693776478
180,klyuchi,52.2667,79.1667,15.11,62,100,3.37,RU,1693776478
181,codrington,-38.2667,141.9667,16.98,34,100,9.04,AU,1693776479
182,saurimo,-9.6608,20.3916,23.05,42,70,1.27,AO,1693776479
183,lincoln city,44.9582,-124.0179,22.25,89,100,4.47,US,1693776248
184,nemuro,43.3236,145.575,17.69,91,97,1.12,JP,1693776479
185,anka,12.1138,5.9243,26.2,75,62,3.21,NG,1693776480
186,selfoss,63.9331,-20.9971,5.58,74,98,11.73,IS,1693776481
187,olyokminsk,60.3736,120.4264,3.78,78,6,1.08,RU,1693776481
188,adamovka,51.5223,59.9396,11.1,88,8,3.75,RU,1693776481
189,namibe,-15.1961,12.1522,17.65,88,64,3.04,AO,1693776481
190,sterling,39.0062,-77.4286,36.79,39,40,5.14,US,1693776472
191,general jose de san martin,-26.5374,-59.3416,22.88,81,100,5.09,AR,1693776482
192,gebeit,21.0667,36.3167,31.83,30,42,1.05,SD,1693776482
193,tolanaro,-25.0319,46.9987,22.04,78,20,7.2,MG,1693776482
194,ciudad melchor muzquiz,27.8833,-101.5167,34.97,22,0,3.67,MX,1693776441
195,jamestown,42.097,-79.2353,29.14,65,0,4.63,US,1693776211
196,kembe,4.6228,21.8865,21.13,97,82,1.09,CF,1693776483
197,jumla,29.2747,82.1838,14.84,91,1,1.87,NP,1693776483
198,souillac,-20.5167,57.5167,21.21,78,75,4.12,MU,1693776483
199,nassau,40.7507,-73.5829,33.24,56,20,3.6,US,1693776483
200,sa pa,22.3402,103.8441,16.93,87,99,1.03,VN,1693776484
201,pingliang,35.5392,106.6861,16.86,76,4,1.65,CN,1693776484
202,nova sintra,14.8667,-24.7167,24.16,82,91,2.9,CV,1693776484
203,gaiman,-43.2897,-65.4929,9.68,31,35,7.8,AR,1693776484
204,colonia,50.9333,6.95,18.87,75,0,3.09,DE,1693776484
205,choibalsan,48.0667,114.5,9.47,91,94,1.99,MN,1693776485
206,nova vicosa,-17.8919,-39.3719,23.1,72,100,4.19,BR,1693776286
207,zhangye,38.9342,100.4517,20.82,31,14,3.26,CN,1693776485
208,constantia,44.1833,28.65,19.38,59,13,0.85,RO,1693776334
209,ifakara,-8.1333,36.6833,23.24,59,1,2.57,TZ,1693776485
210,ciudad guayana,8.3533,-62.6528,33.07,64,71,3.54,VE,1693776190
211,minna,9.6139,6.5569,23.4,94,73,1.85,NG,1693776295
212,dudinka,69.4058,86.1778,3.68,92,100,4.15,RU,1693776486
213,urengoy,65.9667,78.3667,5.62,64,72,1.34,RU,1693776486
214,saint-philippe,-21.3585,55.7679,19.77,82,48,6.28,RE,1693776486
215,urmary,55.6789,47.944,13.01,56,5,1.05,RU,1693776486
216,cerignola,41.264,15.9005,23.57,62,95,5.15,IT,1693776486
217,bhimunipatnam,17.8833,83.4333,28.73,81,100,1.42,IN,1693776486
218,qaisumah,28.3112,46.1273,32.98,19,0,3.09,SA,1693776487
219,murzuq,25.9155,13.9184,33.18,15,0,3.96,LY,1693776487
220,horta,38.5333,-28.6333,23.9,90,91,0.45,PT,1693776382
221,cuatro cienegas de carranza,26.9833,-102.0833,35.22,17,0,2.02,MX,1693776487
222,aripuana,-9.1667,-60.6333,33.88,34,88,0.27,BR,1693776487
223,udachny,66.4167,112.4,5.25,75,100,4.96,RU,1693776487
224,bhuj,23.2667,69.6667,26.08,76,89,5.27,IN,1693776488
225,whakatane,-37.9585,176.9854,14.38,68,98,2.59,NZ,1693776488
226,taishan,22.2514,112.7799,25.63,91,100,1.36,CN,1693776488
227,port augusta,-32.5,137.7667,11.74,69,60,2.61,AU,1693776488
228,monywa,22.1167,95.1333,26.44,86,100,1.14,MM,1693776488
229,glace bay,46.1969,-59.957,22.66,74,40,5.66,CA,1693776488
230,st. john's,47.5649,-52.7093,20.54,75,40,5.66,CA,1693776321
231,madison,34.7334,-86.5667,32.75,50,75,3.09,US,1693776357
232,hammerfest,70.6634,23.6821,15.25,77,20,5.66,NO,1693776489
233,huaihua,27.5494,109.9592,19.59,96,92,0.74,CN,1693776489
234,ati,13.2154,18.3353,28.2,61,68,2.72,TD,1693776489
235,camana,-16.6228,-72.7111,18.71,77,41,4.13,PE,1693776489
236,zyrya,40.3661,50.2917,22.05,58,0,2.19,AZ,1693776490
237,tazovsky,67.4667,78.7,3.14,86,53,4.72,RU,1693776490
238,homer,59.6425,-151.5483,12.94,78,100,0.0,US,1693776410
239,keflavik,64.0049,-22.5624,6.95,87,75,7.2,IS,1693776490
240,sandnessjoen,66.0217,12.6316,12.06,87,75,10.8,NO,1693776293
241,zaozersk,69.4005,32.4476,13.65,86,14,3.62,RU,1693776491
242,sao marcos,-28.9711,-51.0681,18.65,99,100,1.65,BR,1693776491
243,kangding,30.0513,101.9603,10.07,84,0,1.84,CN,1693776491
244,west island,-12.1568,96.8225,24.99,78,100,4.63,CC,1693776491
245,tambura,5.6,27.4667,21.14,93,100,1.52,SS,1693776491
246,castillos,-34.1667,-53.8333,14.19,99,100,2.38,UY,1693776491
247,dwarka,22.2394,68.9678,27.54,74,48,4.3,IN,1693776492
248,mahanje,-9.9333,35.3333,18.38,61,59,1.34,TZ,1693776492
249,pitanga,-24.7572,-51.7614,21.06,87,73,0.57,BR,1693776492
250,la passe,45.5549,-0.8967,26.13,43,33,3.46,FR,1693776492
251,santa cruz,-17.8,-63.1667,26.03,78,75,7.72,BO,1693776262
252,kiffa,16.6166,-11.4045,29.75,65,77,9.99,MR,1693776492
253,nantucket,41.2835,-70.0995,26.06,87,0,5.14,US,1693776205
254,anadyr,64.75,177.4833,7.28,56,0,5.0,RU,1693776493
255,berdigestyakh,62.0989,126.6992,2.34,72,40,1.83,RU,1693776493
256,vorgashor,67.5833,63.95,8.23,80,11,1.88,RU,1693776493
257,sakleshpur,12.9667,75.7833,19.38,95,100,3.33,IN,1693776493
258,yaren,-0.5472,166.916,28.51,74,45,4.94,NR,1693776494
259,mbanza-ngungu,-5.25,14.8667,24.46,58,100,3.9,CD,1693776494
260,fort st. john,56.2499,-120.8529,13.94,47,75,2.57,CA,1693776494
261,howick,-29.4779,30.2306,15.84,58,7,1.83,ZA,1693776494
262,tangalle,6.024,80.7911,25.09,92,100,8.48,LK,1693776494
263,tarinkot,32.6268,65.8733,23.51,12,0,0.71,AF,1693776495
264,robertsport,6.7533,-11.3686,24.07,93,100,4.73,LR,1693776495
265,paghman,34.5875,68.9533,14.86,23,0,1.25,AF,1693776495
266,liuduzhai,27.3661,110.935,19.49,95,31,1.21,CN,1693776495
267,valozhyn,54.0909,26.5225,15.47,60,95,0.23,BY,1693776495
268,siracusa,37.0881,15.2792,23.77,66,2,0.78,IT,1693776496
269,sao miguel do guama,-1.6267,-47.4833,30.7,52,99,3.54,BR,1693776496
270,buka,40.8108,69.1986,19.64,25,38,2.44,UZ,1693776496
271,ishigaki,24.3448,124.1572,27.07,94,100,5.14,JP,1693776497
272,arkhangel'sk,64.5401,40.5433,13.85,85,78,2.23,RU,1693776497
273,port douglas,-16.4833,145.4667,21.7,70,79,2.59,AU,1693776497
274,as sulayyil,20.4607,45.5779,32.14,13,0,3.24,SA,1693776497
275,crane,31.3974,-102.3501,36.1,16,0,5.24,US,1693776497
276,aleg,17.0481,-13.9209,37.57,31,100,3.53,MR,1693776498
277,ust-nera,64.5667,143.2,3.71,78,88,2.32,RU,1693776498
278,al majaridah,19.1236,41.9111,33.74,48,22,0.59,SA,1693776498
279,vredendal,-31.6683,18.5012,9.63,88,21,0.72,ZA,1693776498
280,minusinsk,53.7103,91.6875,13.01,76,100,1.23,RU,1693776498
281,arauca,7.0847,-70.7591,28.17,82,98,3.01,CO,1693776498
282,kailua-kona,19.6406,-155.9956,28.98,76,40,6.69,US,1693776499
283,saldanha,-33.0117,17.9442,10.03,78,14,2.28,ZA,1693776499
284,kerman,30.2832,57.0788,23.92,22,0,2.06,IR,1693776499
285,mao,39.8885,4.2658,25.31,88,0,8.23,ES,1693776500
286,plouzane,48.3833,-4.6167,21.03,91,0,3.6,FR,1693776500
287,andovoranto,-18.95,49.1,19.78,90,69,1.38,MG,1693776501
288,sao vicente,-23.9631,-46.3919,34.04,60,20,1.34,BR,1693776501
289,kertih,4.5141,103.4483,26.01,100,100,0.0,MY,1693776502
290,dobryanka,58.4619,56.4165,12.23,68,100,1.57,RU,1693776503
291,holmsund,63.706,20.3641,12.97,94,0,2.57,SE,1693776503
292,kozhevnikovo,56.2589,83.9714,11.72,88,45,1.83,RU,1693776503
293,san juan,-31.5375,-68.5364,17.82,22,0,6.27,AR,1693776504
294,kone,-21.0595,164.8658,20.42,78,100,1.86,NC,1693776504
295,mejit,10.2753,170.8646,28.27,78,50,4.49,MH,1693776504
296,luanco,43.6152,-5.7934,22.79,87,100,6.0,ES,1693776504
297,rio grande,-32.035,-52.0986,17.06,98,100,3.58,BR,1693776505
298,panajachel,14.7333,-91.15,26.28,76,93,1.15,GT,1693776505
299,broken hill,-31.95,141.4333,16.93,27,68,10.22,AU,1693776505
300,mwingi,-0.9344,38.0601,19.04,69,2,5.0,KE,1693776505
301,mogocha,53.7333,119.7667,4.03,63,89,0.28,RU,1693776505
302,port saint john's,-31.6229,29.5448,19.16,88,92,1.43,ZA,1693776506
303,shingu,33.7333,135.9833,25.91,86,100,4.93,JP,1693776506
304,thohoyandou,-22.9456,30.485,19.44,41,97,0.88,ZA,1693776506
305,dellys,36.9172,3.9131,29.64,55,100,4.54,DZ,1693776506
306,remire-montjoly,4.9167,-52.2667,30.02,66,0,4.12,GF,1693776506
307,mikhaylov,54.2292,39.0186,14.9,81,87,2.33,RU,1693776506
308,arica,-18.475,-70.3042,20.75,68,100,6.69,CL,1693776507
309,nuuk,64.1835,-51.7216,5.49,60,100,4.02,GL,1693776507
310,bikenibeu village,1.3673,173.1241,28.98,84,40,3.6,KI,1693776507
311,flin flon,54.7682,-101.865,19.91,49,100,3.09,CA,1693776507
312,corn island,12.1694,-83.0418,28.73,76,75,3.12,NI,1693776507
313,akrehamn,59.2667,5.1833,16.34,94,75,2.06,NO,1693776508
314,glendive,47.1053,-104.7125,35.79,21,0,4.12,US,1693776508
315,san patricio,28.017,-97.5169,35.65,44,64,6.74,US,1693776508
316,qamdo,31.1667,97.2333,2.74,80,89,1.15,CN,1693776508
317,lorengau,-2.0226,147.2712,27.31,76,31,4.23,PG,1693776509
318,yuzhno-kurilsk,44.0306,145.8556,17.38,95,99,1.24,RU,1693776509
319,tazacorte,28.629,-17.9293,23.54,73,20,1.03,ES,1693776509
320,flen,59.0583,16.5878,15.05,87,86,2.91,SE,1693776335
321,egilsstadir,65.2653,-14.3948,9.95,50,75,7.2,IS,1693776509
322,oruro,-17.9833,-67.15,12.33,33,99,6.52,BO,1693776510
323,urangan,-25.3,152.9,20.56,75,2,4.33,AU,1693776510
324,achinsk,56.2694,90.4993,11.46,91,82,2.04,RU,1693776510
325,kununurra,-15.7667,128.7333,16.99,88,16,0.0,AU,1693776510
326,krasnopillya,50.7746,35.2597,15.22,59,69,3.49,UA,1693776510
327,kill devil hills,36.0307,-75.676,28.0,56,0,2.06,US,1693776510
328,karonga,-9.9333,33.9333,22.76,72,13,1.19,MW,1693776511
329,sabha,27.0377,14.4283,32.81,20,0,5.8,LY,1693776511
330,xilin hot,43.9667,116.0333,13.23,89,2,2.19,CN,1693776511
331,humaita,-7.5061,-63.0208,39.49,21,98,1.89,BR,1693776512
332,kwang binh,17.4833,106.6,25.81,88,95,3.69,VN,1693776381
333,tofol,5.3248,163.0078,28.43,69,34,2.59,FM,1693776512
334,halmstad,56.6745,12.8568,18.11,88,100,4.63,SE,1693776512
335,northam,51.0333,-4.2167,19.81,89,67,3.04,GB,1693776512
336,petropavlovka,50.6114,105.3196,11.17,91,20,0.67,RU,1693776512
337,gisborne,-38.6533,178.0042,10.08,87,92,0.52,NZ,1693776513
338,greymouth,-42.4667,171.2,10.54,68,39,3.81,NZ,1693776513
339,renala khurd,30.8833,73.6,29.35,34,0,2.35,PK,1693776513
340,camiri,-20.05,-63.5167,30.88,40,100,3.09,BO,1693776513
341,badger,64.8,-147.5333,13.41,63,20,4.12,US,1693776513
342,ovria,38.1833,21.7167,24.6,56,77,1.61,GR,1693776513
343,lionel town,17.8101,-77.2406,30.94,60,23,3.71,JM,1693776514
344,myitkyina,25.3833,97.4,24.25,87,3,0.66,MM,1693776256
345,alice springs,-23.7,133.8833,18.75,32,2,4.63,AU,1693776514
346,tres arroyos,-38.3739,-60.2798,12.0,46,100,1.49,AR,1693776514
347,hobyo,5.3505,48.5268,24.92,83,8,11.76,SO,1693776359
348,khandyga,62.6667,135.6,4.41,68,86,1.95,RU,1693776514
349,koungheul,13.9833,-14.8,27.8,84,93,3.51,SN,1693776514
350,bayanaul,50.7889,75.6956,12.61,60,100,2.95,KZ,1693776515
351,gambiran satu,-8.3939,114.1464,19.52,95,96,0.65,ID,1693776515
352,lianzhou,24.7811,112.3825,22.96,93,100,1.66,CN,1693776515
353,ampanihy,-24.7,44.75,21.49,51,0,2.58,MG,1693776515
354,nouadhibou,20.931,-17.0347,25.99,61,25,6.69,MR,1693776515
355,newman,37.3138,-121.0208,26.14,41,97,1.79,US,1693776516
356,cabo san lucas,22.8909,-109.9124,35.9,66,20,4.63,MX,1693776314
357,mokhsogollokh,61.4681,128.9203,2.69,73,83,1.82,RU,1693776516
358,nguti,5.3299,9.4185,22.62,98,100,0.35,CM,1693776516
359,praia da vitoria,38.7333,-27.0667,23.2,88,20,1.1,PT,1693776516
